NEGERI,DAERAH,LOKASI FDS,KK RUJUKAN (SENARAI FDS),JARAK FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK FDS-NADI (KM)
SARAWAK,KAPIT,"RH. SARI, SG IRAN SONG",Klinik Kesihatan Kapit,55.24,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",8.50
SARAWAK,KAPIT,RH. AJAN LONG SINGUT,Klinik Kesihatan Kapit,172.84,Pekan Tunoh,OPEN,98.50
SARAWAK,KAPIT,"RH. ACHAU, SG JANAN TEKALIT",Klinik Kesihatan Kapit,19.69,Sungai Pelajau,OPEN,16.49
SARAWAK,KAPIT,"RH. LAYANG, SG AYAT BANGKIT",Klinik Kesihatan Kapit,41.84,Sungai Melekun,OPEN,31.60
SARAWAK,KAPIT,"RH. AI ANAK JALIN, SG. ENTAWAU, BENA, BALLEH",Klinik Kesihatan Kapit,31.80,Sungai Melekun,OPEN,22.86
SARAWAK,BINTULU,LONG BIYAK,Klinik Kesihatan Belaga,31.99,Pekan Belaga,OPEN,31.94
SARAWAK,BINTULU,"RH. DRICK, JELALONG, TUBAU",Klinik Kesihatan Tubau,17.67,Sungai Asap,OPEN,18.62
SARAWAK,BINTULU,"RH. AMIT, TUBAU /FELIX",Klinik Kesihatan Tubau,29.71,Sungai Asap,OPEN,30.49
SARAWAK,BINTULU,"RH. ROBERT, KAKUS",Klinik Kesihatan Tatau,60.01,Pekan Belaga,OPEN,50.05
SARAWAK,BINTULU,"RH RENANG, SIGU",Klinik Kesihatan Sebauh,39.43,Pekan Belaga,OPEN,36.37
SARAWAK,BINTULU,"RH JALING, SIGU",Klinik Kesihatan Sebauh,39.15,Pekan Belaga,OPEN,37.22
SARAWAK,BINTULU,LONG UNAI,Klinik Kesihatan Belaga,130.24,Pekan Tunoh,OPEN,115.93
SARAWAK,BINTULU,SANG ANAU,Klinik Kesihatan Belaga,66.95,Pekan Tunoh,OPEN,40.35
SARAWAK,BINTULU,BATU KELING,Klinik Kesihatan Belaga,55.96,Pekan Tunoh,OPEN,34.01
SARAWAK,BINTULU,LONG JAWE,Klinik Kesihatan Belaga,110.03,Pekan Kapit,OPEN,27.32
SARAWAK,BINTULU,LONG KEBUHO,Klinik Kesihatan Belaga,243.30,Bawang Assan,OPEN,7.57
SARAWAK,BINTULU,LONG TANYIT,Klinik Kesihatan Sungai Asap,102.99,Pekan Belaga,OPEN,93.38
SARAWAK,BINTULU,PUNAN BUSANG,Klinik Kesihatan Sungai Asap,74.75,Pekan Belaga,OPEN,34.59
SARAWAK,BINTULU,LUSONG LAKU,Klinik Kesihatan Sungai Asap,73.71,Pekan Belaga,OPEN,57.68
SARAWAK,BINTULU,LONG KAJANG,Klinik Kesihatan Sungai Asap,99.78,Pekan Belaga,OPEN,89.14
SARAWAK,BINTULU,LONG ABIT,Klinik Kesihatan Sungai Asap,92.26,Pekan Belaga,OPEN,80.57
SARAWAK,MIRI,PA' TIK,Klinik Kesihatan Bario,20.69,Bario,OPEN,20.43
SARAWAK,MIRI,LONG SABAI,Klinik Kesihatan Long Lellang,11.37,Long Banga (Long Beruang),UNDER RELOCATION,34.38
SARAWAK,MIRI,LONG KELIAN,Klinik Kesihatan Long Lellang,9.31,Long Banga (Long Beruang),UNDER RELOCATION,42.31
SARAWAK,MIRI,TANJONG DURIAN,Klinik Kesihatan Long Bedian,25.03,Long Bedian,OPEN,24.92
SARAWAK,MIRI,LONG SAIT,Klinik Kesihatan Lio Mato,15.43,Long Banga (Long Beruang),UNDER RELOCATION,24.99
SARAWAK,MIRI,RAMUDU,Klinik Kesihatan Pa' Dallih,2.83,Bario,OPEN,24.12
SARAWAK,MIRI,BA' AJENG,Klinik Kesihatan Long Moh,15.11,Long Banga (Long Beruang),UNDER RELOCATION,42.37
SARAWAK,MIRI,BA' LAMAM,Klinik Kesihatan Long Moh,17.35,Long Banga (Long Beruang),UNDER RELOCATION,41.50
SARAWAK,MIRI,LONG LAMAI,Klinik Kesihatan Long Banga,3.77,Long Banga (Long Beruang),UNDER RELOCATION,3.61
SARAWAK,MIRI,LONG KERONG,Klinik Kesihatan Lio Mato,12.93,Long Banga (Long Beruang),UNDER RELOCATION,22.03
SARAWAK,MIRI,BA' PURAU,Klinik Kesihatan Long Jekitan,55.41,Long Banga (Long Beruang),UNDER RELOCATION,69.39
SARAWAK,MIRI,LONG PALAI,Klinik Kesihatan Long Jeeh,13.60,Long Banga (Long Beruang),UNDER RELOCATION,62.84
SARAWAK,MIRI,LONG TEBANGAN,Klinik Kesihatan Long Lama,70.55,Long Bedian,OPEN,51.18
SARAWAK,MIRI,BA' ABANG,Klinik Kesihatan Long Lama,64.84,Long Bedian,OPEN,47.20
SARAWAK,MIRI,BA' ITAM,Klinik Kesihatan Long Bedian,36.81,Long Bedian,OPEN,36.65
SARAWAK,MIRI,LONG LIAU,Klinik Kesihatan Long San,42.11,Sungai Asap,OPEN,57.46
SARAWAK,MIRI,LONG BUKEN,Klinik Kesihatan Long Loyang,43.90,Sungai Asap,OPEN,57.22
SARAWAK,MIRI,LONG BALAU,Klinik Kesihatan Long Seridan,7.88,Long Bedian,OPEN,49.25
SARAWAK,MIRI,PA LUNGAN,Klinik Kesihatan Bario,9.85,Bario,OPEN,10.08
SARAWAK,MIRI,LONG LUBANG,Klinik Kesihatan Bario,21.51,Bario,OPEN,21.24
SARAWAK,MIRI,BA' PAKAN,Klinik Kesihatan Long Bedian,31.62,Long Bedian,OPEN,31.55
SARAWAK,MIRI,LONG KAWI,Klinik Kesihatan Long Bedian,37.22,Long Bedian,OPEN,37.05
SARAWAK,MIRI,MANDAMOT,Klinik Kesihatan Bario,19.83,Bario,OPEN,19.59
SARAWAK,MIRI,LONG SERIDAN,Klinik Kesihatan Long Seridan,0.42,Long Bedian,OPEN,42.70
SARAWAK,MIRI,BA LAI,Klinik Kesihatan Long Banga,14.50,Long Banga (Long Beruang),UNDER RELOCATION,14.80
SARAWAK,MIRI,LONG BANGA,Klinik Kesihatan Long Banga,1.15,Long Banga (Long Beruang),UNDER RELOCATION,0.89
SARAWAK,MIRI,APAU NYARING,Klinik Kesihatan Long San,39.28,Sungai Asap,OPEN,65.30
SARAWAK,MIRI,LONG DANO,Klinik Kesihatan Bario,17.65,Bario,OPEN,17.68
SARAWAK,TELANG USAN,DATA BILA (PENAN),Klinik Kesihatan Lio Mato,22.86,Long Banga (Long Beruang),UNDER RELOCATION,36.75
