fds_id,site_id,state,district,fds_name,fds_latitude,fds_longitude,nearest_nadi_id,nearest_nadi_name,nadi_latitude,nadi_longitude,distance_km,distance_band,nadi_operation_status,coordinate_basis,nearest_open_nadi_name,nearest_open_nadi_km
F029,S022,SARAWAK,SIBU,( + RH PENGUANG ),2.27461111111111,112.429444444444,Q64,Kg Nanga Tada,2.0866,112.3608,22.253863008254005,red,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",temporary coordinates in operation status,Kg Nanga Tada,22.253863008254005
F030,S022,SARAWAK,SIBU,( + RH SEMUKAU ),2.27461111111111,112.429444444444,Q64,Kg Nanga Tada,2.0866,112.3608,22.253863008254005,red,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",temporary coordinates in operation status,Kg Nanga Tada,22.253863008254005
F031,S023,SARAWAK,SIBU,RH. KIROH,2.23013888888889,112.210305555555,Q62,Kg Muhibbah,2.11688,112.14974,14.27915044230767,red,OPEN,listed coordinates,Kg Muhibbah,14.27915044230767
F032,S024,SARAWAK,SIBU,RH. ENJAH,2.21183333333333,112.222,Q62,Kg Muhibbah,2.11688,112.14974,13.264505781211641,red,OPEN,listed coordinates,Kg Muhibbah,13.264505781211641
F033,S025,SARAWAK,SIBU,"RH. ENGKAYAU, ULU MACHAN",1.92888888888889,112.071805555556,Q69,Machan,2.017603,112.020504,11.393522474496947,red,OPEN,listed coordinates,Machan,11.393522474496947
F034,S025,SARAWAK,SIBU,( + RH MANILLA ),1.92888888888889,112.071805555556,Q69,Machan,2.017603,112.020504,11.393522474496947,red,OPEN,listed coordinates,Machan,11.393522474496947
F035,S025,SARAWAK,SIBU,( + RH UBONG ),1.92888888888889,112.071805555556,Q69,Machan,2.017603,112.020504,11.393522474496947,red,OPEN,listed coordinates,Machan,11.393522474496947
F036,S026,SARAWAK,SIBU,RH. JANTING,1.89725,112.174666666667,Q65,Rumah Benjamin,2.06721,112.14972,19.100972893757454,red,OPEN,listed coordinates,Rumah Benjamin,19.100972893757454
F037,S026,SARAWAK,SIBU,( + RH TIGONG ),1.89725,112.174666666667,Q65,Rumah Benjamin,2.06721,112.14972,19.100972893757454,red,OPEN,listed coordinates,Rumah Benjamin,19.100972893757454
F038,S026,SARAWAK,SIBU,( + RH ANTAS ),1.89725,112.174666666667,Q65,Rumah Benjamin,2.06721,112.14972,19.100972893757454,red,OPEN,listed coordinates,Rumah Benjamin,19.100972893757454
F039,S027,SARAWAK,SIBU,RH. UNJAU POI,1.90208333333333,112.227111111111,Q65,Rumah Benjamin,2.06721,112.14972,20.275661422196666,red,OPEN,listed coordinates,Rumah Benjamin,20.275661422196666
F040,S028,SARAWAK,SIBU,"RH. JARAU, JAGAU",1.84358333333333,112.284805555556,Q74,Nanga Ngungun,1.988989,112.400101,20.629905839223277,red,OPEN,listed coordinates,Nanga Ngungun,20.629905839223277
F041,S028,SARAWAK,SIBU,( + RH SALANG ),1.84358333333333,112.284805555556,Q74,Nanga Ngungun,1.988989,112.400101,20.629905839223277,red,OPEN,listed coordinates,Nanga Ngungun,20.629905839223277
F042,S028,SARAWAK,SIBU,( + RH MANGGAL ),1.84358333333333,112.284805555556,Q74,Nanga Ngungun,1.988989,112.400101,20.629905839223277,red,OPEN,listed coordinates,Nanga Ngungun,20.629905839223277
F043,S029,SARAWAK,KAPIT,"RH. NUGA, SG. SEMUNJAN",2.054018,112.813026,Q71,Pekan Kapit,2.015658,112.937752999999,14.501776807213043,red,OPEN,listed coordinates,Pekan Kapit,14.501776807213043
F044,S030,SARAWAK,KAPIT,"RH. MANILA, SG. SEMUNJAN",2.061833,112.825158,Q71,Pekan Kapit,2.015658,112.937752999999,13.524597169962327,red,OPEN,listed coordinates,Pekan Kapit,13.524597169962327
F045,S031,SARAWAK,KAPIT,"RH. LIUN, IBAU",2.070742,112.715335,Q73,Song,2.01037,112.552119,19.339786362315472,red,OPEN,listed coordinates,Song,19.339786362315472
F046,S032,SARAWAK,KAPIT,"RH. MESSOP, IBAU",2.052336,112.68931,Q73,Song,2.01037,112.552119,15.943557791401016,red,OPEN,listed coordinates,Song,15.943557791401016
F047,S033,SARAWAK,KAPIT,"RH. BERANGAN, SG IRAN PELAGUS",2.255626,112.971941,Q71,Pekan Kapit,2.015658,112.937752999999,26.95233363280323,red,OPEN,listed coordinates,Pekan Kapit,26.95233363280323
F048,S034,SARAWAK,KAPIT,"RH. SARI, SG IRAN SONG",2.084565,112.437233,Q64,Kg Nanga Tada,2.0866,112.3608,8.496359099739024,yellow,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",temporary coordinates in operation status,Kg Nanga Tada,8.496359099739024
F049,S035,SARAWAK,KAPIT,RH. AJAN LONG SINGUT,1.57292368,114.4209056,Q66,Pekan Tunoh,2.0479,113.672759,98.50429851557324,red,OPEN,listed coordinates,Pekan Tunoh,98.50429851557324
F050,S036,SARAWAK,KAPIT,"RH. ACHAU, SG JANAN TEKALIT",1.909314,112.784375,Q76,Sungai Pelajau,1.96916,112.92012,16.488080047847742,red,OPEN,listed coordinates,Sungai Pelajau,16.488080047847742
F051,S037,SARAWAK,KAPIT,"RH. LAYANG, SG AYAT BANGKIT",1.957821,113.301567,Q72,Sungai Melekun,2.0126,113.0225,31.604782810422286,red,OPEN,listed coordinates,Sungai Melekun,31.604782810422286
F052,S038,SARAWAK,KAPIT,"RH. AI ANAK JALIN, SG. ENTAWAU, BENA, BALLEH",1.891256,113.188507,Q72,Sungai Melekun,2.0126,113.0225,22.856127550544414,red,OPEN,listed coordinates,Sungai Melekun,22.856127550544414
F053,S039,SARAWAK,BINTULU,LONG BIYAK,2.65922,113.49887,Q43,Pekan Belaga,2.705406,113.782731,31.944891561204056,red,OPEN,listed coordinates,Pekan Belaga,31.944891561204056
F054,S040,SARAWAK,BINTULU,"RH. DRICK, JELALONG, TUBAU",3.204794,113.854429,Q31,Sungai Asap,3.054613,113.928508,18.615026474882818,red,OPEN,listed coordinates,Sungai Asap,18.615026474882818
F055,S041,SARAWAK,BINTULU,"RH. AMIT, TUBAU /FELIX",3.328191,113.90983,Q31,Sungai Asap,3.054613,113.928508,30.49112980460859,red,OPEN,listed coordinates,Sungai Asap,30.49112980460859
F056,S042,SARAWAK,BINTULU,"RH. ROBERT, KAKUS",2.639007,113.337046,Q43,Pekan Belaga,2.705406,113.782731,50.05165203006053,red,OPEN,listed coordinates,Pekan Belaga,50.05165203006053
F057,S043,SARAWAK,BINTULU,"RH RENANG, SIGU",2.97397,113.59586,Q43,Pekan Belaga,2.705406,113.782731,36.36634379049592,red,OPEN,listed coordinates,Pekan Belaga,36.36634379049592
F058,S044,SARAWAK,BINTULU,"RH JALING, SIGU",2.98425,113.59731,Q43,Pekan Belaga,2.705406,113.782731,37.22133166727187,red,OPEN,listed coordinates,Pekan Belaga,37.22133166727187
F059,S045,SARAWAK,BINTULU,LONG UNAI,1.99581172,114.7146545,Q66,Pekan Tunoh,2.0479,113.672759,115.92632454212352,red,OPEN,listed coordinates,Pekan Tunoh,115.92632454212352
F060,S046,SARAWAK,BINTULU,SANG ANAU,2.1531869,114.0202895,Q66,Pekan Tunoh,2.0479,113.672759,40.35332666417004,red,OPEN,listed coordinates,Pekan Tunoh,40.35332666417004
F061,S047,SARAWAK,BINTULU,BATU KELING,2.2233485,113.9234332,Q66,Pekan Tunoh,2.0479,113.672759,34.00687613528114,red,OPEN,listed coordinates,Pekan Tunoh,34.00687613528114
F062,S048,SARAWAK,BINTULU,LONG JAWE,2.25843251,112.8999907,Q71,Pekan Kapit,2.015658,112.937752999999,27.319500168369853,red,OPEN,listed coordinates,Pekan Kapit,27.319500168369853
F063,S049,SARAWAK,BINTULU,LONG KEBUHO,2.3517868,111.6217804,Q53,Bawang Assan,2.31546,111.67942,7.571440493988751,yellow,OPEN,listed coordinates,Bawang Assan,7.571440493988751
F064,S050,SARAWAK,BINTULU,LONG TANYIT,2.373173,114.5547487,Q43,Pekan Belaga,2.705406,113.782731,93.37863099565017,red,OPEN,listed coordinates,Pekan Belaga,93.37863099565017
F065,S051,SARAWAK,BINTULU,PUNAN BUSANG,2.4426794,113.6160225,Q43,Pekan Belaga,2.705406,113.782731,34.58880634267023,red,OPEN,listed coordinates,Pekan Belaga,34.58880634267023
F066,S052,SARAWAK,BINTULU,LUSONG LAKU,2.4686599,114.244719,Q43,Pekan Belaga,2.705406,113.782731,57.676555485505574,red,OPEN,listed coordinates,Pekan Belaga,57.676555485505574
F067,S053,SARAWAK,BINTULU,LONG KAJANG,2.3748521,114.513815,Q43,Pekan Belaga,2.705406,113.782731,89.143412131243565,red,OPEN,listed coordinates,Pekan Belaga,89.143412131243565
F068,S054,SARAWAK,BINTULU,LONG ABIT,2.4019683,114.4413757,Q43,Pekan Belaga,2.705406,113.782731,80.57042723905818,red,OPEN,listed coordinates,Pekan Belaga,80.57042723905818
F069,S055,SARAWAK,MIRI,PA' TIK,3.72453,115.28142,Q21,Bario,3.73976,115.46488,20.426911556742763,red,OPEN,listed coordinates,Bario,20.426911556742763
F070,S056,SARAWAK,MIRI,LONG SABAI,3.47322,115.24191,Q25,Long Banga (Long Beruang),3.203576,115.393507,34.382769828360125,red,UNDER RELOCATION,listed coordinates,Bario,38.609268037501046
F071,S057,SARAWAK,MIRI,LONG KELIAN,3.40666,115.07121,Q25,Long Banga (Long Beruang),3.203576,115.393507,42.30868926328104,red,UNDER RELOCATION,listed coordinates,Long Bedian,57.23558407153091
F072,S058,SARAWAK,MIRI,TANJONG DURIAN,3.58402,114.811,Q19,Long Bedian,3.793308,114.730756,24.91710977561635,red,OPEN,listed coordinates,Long Bedian,24.91710977561635
