source_row,state,district,fds_name,latitude_raw,longitude_raw,team,mode,named_kk,reported_kk_distance_km,fds_id,latitude,longitude,coordinate_precision_review,valid_coordinates,kk_key,kk_id,match_method,kk_name,latitude_kk,longitude_kk,valid_coordinates_kk,nearest_nadi_id,nearest_nadi_name,nadi_longitude,nadi_latitude,nearest_nadi_km,nearest_nadi_status,distance_band_original_1_3km,distance_band,nadi_within_5km,nadi_within_10km,nearest_open_nadi_id,nearest_open_nadi_name,nearest_open_nadi_km,nearest_listed_nadi_id,nearest_listed_nadi_name,nearest_listed_nadi_status,nearest_listed_nadi_km,named_kk_distance_km,geographic_nearest_kk_id,geographic_nearest_kk_name,geographic_nearest_kk_km,site_group,site_id,candidates_within_10km,candidates_within_5km,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_river_km,mapped_road_length_10km_km,mapped_track_length_10km_km,mapped_waterway_length_10km_km,nearest_candidate,nearest_candidate_km,site_map,dem_grid_m,local_epsg,dem_coverage_pct,fds_elevation_m,fds_slope_deg,elevation_min_10km_m,elevation_max_10km_m,relief_10km_m,slope_mean_10km_deg,slope_p90_10km_deg,pct_slope_over15deg_10km,pct_slope_over30deg_10km,relief_5km_m,slope_mean_5km_deg,pct_slope_over15deg_5km
13,SARAWAK,SRI AMAN,"RH.MUNGGU SAWA,PANTU",1.23119444444444,111.172830555556,FDS (P) PKD SRI AMAN 1,Udara,KK PANTU,45,F011,1.23119444444444,111.172830555556,,TRUE,PANTU,K0435,exact normalized name,Klinik Kesihatan Pantu,1.142232,111.117207,TRUE,Q134,Lingga,111.168268,1.35401,13.665903719666824,OPEN,red,red,0,0,Q134,Lingga,13.665903719666824,Q134,Lingga,OPEN,13.665903719666824,11.665934154787287,K0435,Klinik Kesihatan Pantu,11.665934154787287,7,S007,0,0,1.0740402798399713,0.005429973185420724,3.1033659053621165,3.1033659053621165,31.20975959606736,40.2818689768736,59.13239936704523,NA,NA,site_maps/S007.png,40,32649,100,13.43216609954834,3.788649712065436,-3.6412031650543217,533,536.6412031650543,4.3735992609434495,11.634082384222427,6.708884505985367,0.3721524506796599,533.3381166756153,6.157890702453689,13.74919276719406
14,SARAWAK,SARIKEI,SK KOTA,1.67161666666667,111.6612,FDS (P) PKD SARIKEI,Udara,KLINIK KESIHATAN NANGA KARA,NA,F012,1.67161666666667,111.6612,,TRUE,NANGAKARA,K0397,exact normalized name,Klinik Kesihatan Nanga Kara,1.91616,111.73739,TRUE,Q93,Paku Penom,111.587942,1.619842,9.972237911755162,OPEN,red,yellow,0,1,Q93,Paku Penom,9.972237911755162,Q93,Paku Penom,OPEN,9.972237911755162,28.479985299863245,K0416,Klinik Kesihatan Nanga Tiga,8.131896275285609,8,S008,3,1,0.03367617717562959,0.5613945009210439,0.7008122281515435,3.9660490757671645,120.91482819007501,22.149739713159022,12.72111889159877,SK KOTA,2.2103881225365996e-14,site_maps/S008.png,40,32649,100,125.2329330444336,2.898486854683254,54.748348236083984,557.5760498046875,502.8277015686035,12.74843650809771,22.912556384474847,36.335010039957,1.849786017078068,463.78150939941406,15.487457491220963,50.10689363075309
15,SARAWAK,SARIKEI,RH UMAR,1.80005,111.793716666667,FDS (P) PKD SARIKEI,Udara,KK PAKAN,NA,F013,1.80005,111.793716666667,,TRUE,PAKAN,K0430,exact normalized name,Klinik Kesihatan Pakan,1.88636,111.6765,TRUE,Q77,Pekan Pakan,111.67775,1.890467,16.345889754490287,OPEN,red,red,0,0,Q77,Pekan Pakan,16.345889754490287,Q77,Pekan Pakan,OPEN,16.345889754490287,16.180681511819017,K0391,Klinik Kesihatan Nanga Entaih,12.749435955090128,9,S009,0,0,0.01433616177372814,3.269609510651297,5.006868426008016,5.006868426008016,130.82409398284858,4.619790384204883,37.176088749839714,NA,NA,site_maps/S009.png,40,32649,100,136.96530151367188,7.585728391076225,47.15465545654297,423.4522705078125,376.29761505126953,11.334405380714683,20.281407176620014,28.30575160217409,0.27581731159243933,321.38861083984375,11.555685578620702,29.2729180116204
16,SARAWAK,SARIKEI,RH BARAK,1.85821666666667,111.815716666667,FDS (P) PKD SARIKEI,Udara,KK SEKALONG,NA,F014,1.85821666666667,111.815716666667,,TRUE,SEKALONG,K0467,exact normalized name,Klinik Kesihatan Sekalong,1.90385,111.85042,TRUE,Q80,Nanga Meluan,111.92876,1.86330999999999,12.575995823757205,OPEN,red,red,0,0,Q80,Nanga Meluan,12.575995823757205,Q80,Nanga Meluan,OPEN,12.575995823757205,6.373550345061017,K0467,Klinik Kesihatan Sekalong,6.373550345061017,10,S010,1,0,0.01257580485162248,5.739421729057684,7.425938028841486,7.425938028841486,128.5294719403836,15.176810596070856,11.780876032154282,Klinik Kesihatan Sekalong,6.373550345061017,site_maps/S010.png,40,32649,100,106.69617462158205,3.300623933789528,24.74506378173828,377.15631103515625,352.41124725341797,11.722712285602086,20.59671274948132,30.943036498423034,0.22260082955571103,234.09778594970703,11.81575250729484,31.41162706257312
17,SARAWAK,SARIKEI,RH TAWIE,1.86088333333333,111.782583333333,FDS (P) PKD SARIKEI,Udara,KK SEKALONG,NA,F015,1.86088333333333,111.782583333333,,TRUE,SEKALONG,K0467,exact normalized name,Klinik Kesihatan Sekalong,1.90385,111.85042,TRUE,Q77,Pekan Pakan,111.67775,1.890467,12.1062040062777,OPEN,red,red,0,0,Q77,Pekan Pakan,12.1062040062777,Q77,Pekan Pakan,OPEN,12.1062040062777,8.925429547007726,K0397,Klinik Kesihatan Nanga Kara,7.937592766668238,11,S011,2,0,0.4230620549588754,6.163412133050312,7.119995470198917,7.119995470198917,155.58128745603128,10.584737999051503,28.73861999461719,Klinik Kesihatan Nanga Kara,7.937592766668238,site_maps/S011.png,40,32649,100,105.18404388427734,4.843703986011317,23.059738159179688,376.8273620605469,353.7676239013672,10.967950377640255,19.88015869275234,26.63576991724809,0.20028800908648384,221.678897857666,10.78481865590578,25.075156871053007
18,SARAWAK,SARIKEI,RH BUGIE,1.89611666666667,111.947716666667,FDS (P) PKD SARIKEI,Udara,KK JULAU,NA,F016,1.89611666666667,111.947716666667,,TRUE,JULAU,K0282,exact normalized name,Klinik Kesihatan Julau,2.02596,111.91293,TRUE,Q80,Nanga Meluan,111.92876,1.86330999999999,4.212586365735702,OPEN,red,green,1,1,Q80,Nanga Meluan,4.212586365735702,Q80,Nanga Meluan,OPEN,4.212586365735702,14.946535052049901,K0467,Klinik Kesihatan Sekalong,10.847103263994612,12,S012,1,0,3.597285222050313,4.338790092221649,3.4140050856027577,3.4140050856027577,63.15654275376746,27.769696334982694,43.178579784543444,Unnamed school,9.781985208310182,site_maps/S012.png,40,32649,100,40.63571548461914,5.388952913354214,14.860881805419922,302.1864013671875,287.3255195617676,12.460229390858403,20.987259740480702,35.78349600709849,0.16782862213208263,235.51874351501465,12.91053837978594,38.60884655742998
19,SARAWAK,SARIKEI,RH ENGGIE,1.60228333333333,111.796166666667,FDS (P) PKD SARIKEI,Udara,KK NANGA TIGA,NA,F017,1.60228333333333,111.796166666667,,TRUE,NANGATIGA,K0416,exact normalized name,Klinik Kesihatan Nanga Tiga,1.60815,111.69755,TRUE,Q93,Paku Penom,111.587942,1.619842,23.22661708023934,OPEN,red,red,0,0,Q93,Paku Penom,23.22661708023934,Q93,Paku Penom,OPEN,23.22661708023934,10.980781263444394,K0293,Klinik Kesihatan Kemalih,5.962028298296796,13,S013,1,0,0.05320124920976523,0.6124186369340058,2.8610086309638625,4.815275263726678,69.57569788248105,44.44271961916581,48.59547232383953,Klinik Kesihatan Kemalih,5.962028298296777,site_maps/S013.png,40,32649,100,229.0936279296875,4.92916954340606,81.585968017578125,827.81622314453125,746.2302551269531,14.038282000900608,23.729633154814643,42.67026325396503,2.2365432198921025,451.01119232177734,14.55017163672018,46.11334153771662
20,SARAWAK,SARIKEI,SK JU,1.71046666666667,112.082883333333,FDS (P) PKD SARIKEI,Udara,KK NANGA MAONG,NA,F018,1.71046666666667,112.082883333333,,TRUE,NANGAMAONG,K0358,documented name alias,Klinik Kesihatan Maong (Mujok),1.73997,112.03309,TRUE,Q80,Nanga Meluan,111.92876,1.86330999999999,24.13009938007504,OPEN,red,red,0,0,Q80,Nanga Meluan,24.13009938007504,Q80,Nanga Meluan,OPEN,24.13009938007504,6.433552339257878,K0358,Klinik Kesihatan Maong (Mujok),6.433552339257878,14,S014,3,1,0.06720499851415165,NA,8.9766776874523,9.522386981642589,29.96975035339191,0,3.9153724280609743,SK JU,1.2751468343171662e-12,site_maps/S014.png,40,32649,100,86.75282287597656,1.2408777407967375,59.79088592529297,758.05059814453125,698.2597122192383,11.922391622888153,20.18043464240639,31.242679754800307,0.3351468105279703,305.9578323364258,12.109496727984451,32.38592810747569
21,SARAWAK,SARIKEI,SK JAMBU,1.67063333333333,111.936366666667,FDS (P) PKD SARIKEI,Udara,KK NANGA ENSIRING,NA,F019,1.67063333333333,111.936366666667,,TRUE,NANGAENSIRING,K0389,exact normalized name,Klinik Kesihatan Nanga Ensiring,1.66321,112.03503,TRUE,Q80,Nanga Meluan,111.92876,1.86330999999999,21.441375176734805,OPEN,red,red,0,0,Q80,Nanga Meluan,21.441375176734805,Q80,Nanga Meluan,OPEN,21.441375176734805,10.997258529966167,K0389,Klinik Kesihatan Nanga Ensiring,10.997258529966167,15,S015,1,1,0.1358539758974132,0.4155545888406751,0.06266209145834796,0.06266209145834796,76.24987604829727,29.46155042739511,57.20725255431615,SK JAMBU,4.420776245073199e-14,site_maps/S015.png,40,32649,100,87.295074462890625,5.917655632333466,46.9961051940918,579.65594482421875,532.659839630127,12.55371883119855,21.451086261932662,33.982497414160264,0.835074127405845,316.6050109863281,10.96815538008316,24.161940705160543
22,SARAWAK,SARIKEI,RH KIROH,1.8095,111.858566666667,FDS (P) PKD SARIKEI,Udara,KK NANGA ENTABAI,NA,F020,1.8095,111.858566666667,,TRUE,NANGAENTABAI,K0390,exact normalized name,Klinik Kesihatan Nanga Entabai,1.792228,111.921208,TRUE,Q80,Nanga Meluan,111.92876,1.86330999999999,9.831533535963738,OPEN,red,yellow,0,1,Q80,Nanga Meluan,9.831533535963738,Q80,Nanga Meluan,OPEN,9.831533535963738,7.22201985592716,K0390,Klinik Kesihatan Nanga Entabai,7.22201985592716,16,S016,1,0,0.015716167886009,1.1839000581216192,1.689345297106889,1.689345297106889,134.81297112577744,11.947989424323664,55.96753254030419,Klinik Kesihatan Nanga Entabai,7.222019855927172,site_maps/S016.png,40,32649,100,82.04942321777344,2.8834230603584334,24.019033432006836,429.1983947753906,405.1793613433838,11.883139677064902,20.746990567906305,31.812028130878556,0.289522920987116,268.06379318237305,11.443365760382166,29.256778566817303
