candidate_id,candidate_name,candidate_type,source,source_url,public_ownership_evidence,coordinate_basis,name_key,duplicate_of,country_boundary_flag,distance_to_fds_km,rank_by_distance,label,elevation_m,slope_deg,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_mapped_road_name,nearest_road_surface,nearest_road_access_tag,straightline_waterway_intersections,within_fds_5km,site_id,fds_name,state,longitude,latitude,feasibility
OSM_node/12989046766,Sekolah Kebangsaan (SK) Lela Pahlawan,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/12989046766,public/government OSM tag,OSM point or point on mapped facility footprint,SKLELAPAHLAWAN,NA,within Malaysia or boundary tolerance,7.775661640301907,6,C06,6.371685028076172,1.177742838859558,0.016489909873289757,0.19553173134867288,0.4432153614427683,,,,1,FALSE,S005,"RH. MAMUT, LANGGIR, ULU LINGGA",SARAWAK,111.1710899,1.3535342999999995,Candidate for field review; conversion suitability unverified
K0392,Klinik Kesihatan Nanga Entalau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2474,health-facility register; confirm property and operating status,supplied register coordinates,NANGAENTALAU,NA,within Malaysia or boundary tolerance,9.765586924491437,1,C01,97.5348129272461,1.7320208549499512,0.10326444043713913,0.3148903820099546,0.14853367204527174,,,,0,FALSE,S006,"RH.THOMAS,BANGAI",SARAWAK,111.790157,1.4565,Candidate for field review; conversion suitability unverified
FDS_SCHOOL_S008,SK KOTA,school (FDS name; verify),Supplied FDS school-location name,data/fds_list.xlsx#Sheet1!row=14,school implied by FDS location name; verify existence and ownership,FDS coordinates; not independently located school,KOTA,NA,within Malaysia or boundary tolerance,2.2103881225365996e-14,1,C01,125.2329330444336,2.898486852645874,0.03367617717562959,0.5613945009210439,0.7008122281515435,,unpaved,,0,TRUE,S008,SK KOTA,SARAWAK,111.6612,1.6716166666666699,Candidate for field review; conversion suitability unverified
K0416,Klinik Kesihatan Nanga Tiga,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2498,health-facility register; confirm property and operating status,supplied register coordinates,NANGATIGA,NA,within Malaysia or boundary tolerance,8.131896275285628,2,C02,98.95722198486328,14.304060935974121,0.005834987724532327,5.541648747520724,0.14622408583600757,Jalan Ulu Layar,asphalt,,0,FALSE,S008,SK KOTA,SARAWAK,111.69755,1.6081499999999997,Candidate for field review; conversion suitability unverified
OSM_node/14107612271,SK St. John,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/14107612271,public/government OSM tag,OSM point or point on mapped facility footprint,STJOHN,NA,within Malaysia or boundary tolerance,8.552674074068786,3,C03,74.78813171386719,3.656844139099121,0.05157180082186856,6.184995254653109,0.07115015499083306,,,,1,FALSE,S008,SK KOTA,SARAWAK,111.70328359999999,1.6072235,Candidate for field review; conversion suitability unverified
K0467,Klinik Kesihatan Sekalong,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2694,health-facility register; confirm property and operating status,supplied register coordinates,SEKALONG,NA,within Malaysia or boundary tolerance,6.373550345061017,1,C01,118.96912384033203,3.192072629928589,0.4439690004756765,1.8271347131472941,5.053269893395607,,,,0,FALSE,S010,RH BARAK,SARAWAK,111.85042,1.9038499999999998,Candidate for field review; conversion suitability unverified
K0397,Klinik Kesihatan Nanga Kara,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2479,health-facility register; confirm property and operating status,supplied register coordinates,NANGAKARA,NA,within Malaysia or boundary tolerance,7.937592766668238,1,C01,48.70831298828125,4.967894077301025,0.5347013584294477,2.377848200063922,0.160994954533218,,,,1,FALSE,S011,RH TAWIE,SARAWAK,111.73739,1.91616,Candidate for field review; conversion suitability unverified
K0467,Klinik Kesihatan Sekalong,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2694,health-facility register; confirm property and operating status,supplied register coordinates,SEKALONG,NA,within Malaysia or boundary tolerance,8.925429547007726,2,C02,114.10738372802734,10.784282684326172,0.4439690004756765,4.150105995063906,9.204795005241564,,,,0,FALSE,S011,RH TAWIE,SARAWAK,111.85042,1.9038499999999998,Candidate for field review; conversion suitability unverified
OSM_way/694956686,Unnamed school,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/694956686,ownership not recorded; verify,OSM point or point on mapped facility footprint,UNNAMEDSCHOOL,NA,within Malaysia or boundary tolerance,9.781985208310182,1,C01,24.85059928894043,1.178281307220459,0.6974351955059706,1.112910261590119,0.10899795537980966,,,,1,FALSE,S012,RH BUGIE,SARAWAK,111.90946175920165,1.9753454095779825,Candidate for field review; conversion suitability unverified
K0293,Klinik Kesihatan Kemalih,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2236,health-facility register; confirm property and operating status,supplied register coordinates,KEMALIH,NA,within Malaysia or boundary tolerance,5.962028298296777,1,C01,105.31608581542969,1.342829942703247,0.0696513634902062,0.22292327719892002,0.01761086281780359,,,,1,FALSE,S013,RH ENGGIE,SARAWAK,111.82094,1.6498399999999998,Candidate for field review; conversion suitability unverified
