fds_id,site_id,state,fds_name,nearest_nadi_name,nearest_nadi_status,nearest_nadi_km,nearest_open_nadi_name,nearest_open_nadi_km
F049,S035,SARAWAK,RH. AJAN LONG SINGUT,Pekan Tunoh,OPEN,98.50429851557324,Pekan Tunoh,98.50429851557324
F050,S036,SARAWAK,"RH. ACHAU, SG JANAN TEKALIT",Sungai Pelajau,OPEN,16.488080047847742,Sungai Pelajau,16.488080047847742
F051,S037,SARAWAK,"RH. LAYANG, SG AYAT BANGKIT",Sungai Melekun,OPEN,31.604782810422286,Sungai Melekun,31.604782810422286
F052,S038,SARAWAK,"RH. AI ANAK JALIN, SG. ENTAWAU, BENA, BALLEH",Sungai Melekun,OPEN,22.856127550544414,Sungai Melekun,22.856127550544414
F053,S039,SARAWAK,LONG BIYAK,Pekan Belaga,OPEN,31.944891561204056,Pekan Belaga,31.944891561204056
F054,S040,SARAWAK,"RH. DRICK, JELALONG, TUBAU",Sungai Asap,OPEN,18.615026474882818,Sungai Asap,18.615026474882818
F055,S041,SARAWAK,"RH. AMIT, TUBAU /FELIX",Sungai Asap,OPEN,30.49112980460859,Sungai Asap,30.49112980460859
F056,S042,SARAWAK,"RH. ROBERT, KAKUS",Pekan Belaga,OPEN,50.05165203006053,Pekan Belaga,50.05165203006053
F057,S043,SARAWAK,"RH RENANG, SIGU",Pekan Belaga,OPEN,36.36634379049592,Pekan Belaga,36.36634379049592
F058,S044,SARAWAK,"RH JALING, SIGU",Pekan Belaga,OPEN,37.22133166727187,Pekan Belaga,37.22133166727187
F059,S045,SARAWAK,LONG UNAI,Pekan Tunoh,OPEN,115.92632454212352,Pekan Tunoh,115.92632454212352
F060,S046,SARAWAK,SANG ANAU,Pekan Tunoh,OPEN,40.35332666417004,Pekan Tunoh,40.35332666417004
F061,S047,SARAWAK,BATU KELING,Pekan Tunoh,OPEN,34.00687613528114,Pekan Tunoh,34.00687613528114
F062,S048,SARAWAK,LONG JAWE,Pekan Kapit,OPEN,27.319500168369853,Pekan Kapit,27.319500168369853
F063,S049,SARAWAK,LONG KEBUHO,Bawang Assan,OPEN,7.571440493988751,Bawang Assan,7.571440493988751
F064,S050,SARAWAK,LONG TANYIT,Pekan Belaga,OPEN,93.37863099565017,Pekan Belaga,93.37863099565017
F065,S051,SARAWAK,PUNAN BUSANG,Pekan Belaga,OPEN,34.58880634267023,Pekan Belaga,34.58880634267023
F066,S052,SARAWAK,LUSONG LAKU,Pekan Belaga,OPEN,57.676555485505574,Pekan Belaga,57.676555485505574
F067,S053,SARAWAK,LONG KAJANG,Pekan Belaga,OPEN,89.143412131243565,Pekan Belaga,89.143412131243565
F068,S054,SARAWAK,LONG ABIT,Pekan Belaga,OPEN,80.57042723905818,Pekan Belaga,80.57042723905818
F069,S055,SARAWAK,PA' TIK,Bario,OPEN,20.426911556742763,Bario,20.426911556742763
F070,S056,SARAWAK,LONG SABAI,Long Banga (Long Beruang),UNDER RELOCATION,34.382769828360125,Bario,38.609268037501046
F071,S057,SARAWAK,LONG KELIAN,Long Banga (Long Beruang),UNDER RELOCATION,42.30868926328104,Long Bedian,57.23558407153091
F072,S058,SARAWAK,TANJONG DURIAN,Long Bedian,OPEN,24.91710977561635,Long Bedian,24.91710977561635
F073,S059,SARAWAK,LONG SAIT,Long Banga (Long Beruang),UNDER RELOCATION,24.99280992680047,Bario,56.96487184139308
F074,S060,SARAWAK,RAMUDU,Bario,OPEN,24.119564363412923,Bario,24.119564363412923
F075,S061,SARAWAK,BA' AJENG,Long Banga (Long Beruang),UNDER RELOCATION,42.37047971943188,Long Bedian,75.34354611062841
F076,S062,SARAWAK,BA' LAMAM,Long Banga (Long Beruang),UNDER RELOCATION,41.5019590044479,Long Bedian,73.13092865892806
F077,S063,SARAWAK,LONG LAMAI,Long Banga (Long Beruang),UNDER RELOCATION,3.6066204856598136,Bario,63.73509239165346
F078,S064,SARAWAK,LONG KERONG,Long Banga (Long Beruang),UNDER RELOCATION,22.029692047696006,Bario,57.72205297826321
F079,S065,SARAWAK,BA' PURAU,Long Banga (Long Beruang),UNDER RELOCATION,69.38802352123277,Long Bedian,115.98914528748321
F080,S066,SARAWAK,LONG PALAI,Long Banga (Long Beruang),UNDER RELOCATION,62.840556799885405,Long Bedian,84.51760790313318
F081,S067,SARAWAK,LONG TEBANGAN,Long Bedian,OPEN,51.179714331098495,Long Bedian,51.179714331098495
F082,S068,SARAWAK,BA' ABANG,Long Bedian,OPEN,47.19702979883827,Long Bedian,47.19702979883827
F083,S069,SARAWAK,BA' ITAM,Long Bedian,OPEN,36.64579537290263,Long Bedian,36.64579537290263
F084,S070,SARAWAK,LONG LIAU,Sungai Asap,OPEN,57.45727339940664,Sungai Asap,57.45727339940664
F085,S071,SARAWAK,LONG BUKEN,Sungai Asap,OPEN,57.21571550575472,Sungai Asap,57.21571550575472
F086,S072,SARAWAK,LONG BALAU,Long Bedian,OPEN,49.24682314526072,Long Bedian,49.24682314526072
F087,S073,SARAWAK,PA LUNGAN,Bario,OPEN,10.081106683928432,Bario,10.081106683928432
F088,S074,SARAWAK,LONG LUBANG,Bario,OPEN,21.23892111717638,Bario,21.23892111717638
F089,S075,SARAWAK,BA' PAKAN,Long Bedian,OPEN,31.548132429655865,Long Bedian,31.548132429655865
F090,S076,SARAWAK,LONG KAWI,Long Bedian,OPEN,37.046924048569764,Long Bedian,37.046924048569764
F091,S077,SARAWAK,MANDAMOT,Bario,OPEN,19.594872210541677,Bario,19.594872210541677
F092,S078,SARAWAK,LONG SERIDAN,Long Bedian,OPEN,42.70294045502963,Long Bedian,42.70294045502963
F093,S079,SARAWAK,BA LAI,Long Banga (Long Beruang),UNDER RELOCATION,14.796413632339133,Bario,48.50278115190442
F094,S080,SARAWAK,LONG BANGA,Long Banga (Long Beruang),UNDER RELOCATION,0.8886324815568323,Bario,60.0494877537136
F095,S081,SARAWAK,APAU NYARING,Sungai Asap,OPEN,65.30218190720201,Sungai Asap,65.30218190720201
F096,S082,SARAWAK,LONG DANO,Bario,OPEN,17.675764421159325,Bario,17.675764421159325
F097,S083,SARAWAK,DATA BILA (PENAN),Long Banga (Long Beruang),UNDER RELOCATION,36.7549058727229,Bario,62.60755277751546
F098,S084,SARAWAK,PA' BERUNUT,Ba’kelalan,OPEN,30.41885025734051,Ba’kelalan,30.41885025734051
F099,S085,SARAWAK,SG. ADANG,Ba’kelalan,OPEN,35.31022136353593,Ba’kelalan,35.31022136353593
F100,S086,SABAH,SONSONGAN MAKATOL,Kampung Ranau,OPEN,9.858581063742784,Kampung Ranau,9.858581063742784
F101,S087,SABAH,PANGARAAN,Kampung Lotong,OPEN,25.420848816311818,Kampung Lotong,25.420848816311818
F102,S088,SABAH,BUAYAN,Pekan Babagon,OPEN,12.642584424054006,Pekan Babagon,12.642584424054006
F103,S089,SABAH,KALANGGAAN,Pekan Babagon,OPEN,11.621228707679675,Pekan Babagon,11.621228707679675
F104,S090,SABAH,LONGKOGUNGON,Kg. Toboh,OPEN,14.67283329725111,Kg. Toboh,14.67283329725111
F105,S091,SABAH,KARAMPALON,Kampung Lotong,OPEN,30.543430901134222,Kampung Lotong,30.543430901134222
F106,S092,SABAH,PANULONGON,Kampung Mesilou,OPEN,11.859831813540975,Kampung Mesilou,11.859831813540975
F107,S093,SABAH,SALILIRAN,Kampung Lotong,OPEN,42.749161082858244,Kampung Lotong,42.749161082858244
F108,S094,SABAH,KABU,Kampung Lotong,OPEN,51.92267095921307,Kampung Lotong,51.92267095921307
F109,S095,SABAH,POHON BATU,Kampung Lotong,OPEN,30.12755381334944,Kampung Lotong,30.12755381334944
F110,S096,SABAH,BINANON,Kampung Lotong,OPEN,28.08309647570561,Kampung Lotong,28.08309647570561
F111,S097,SABAH,NANGKAWANGAN,Kampung Lotong,OPEN,27.374010331047092,Kampung Lotong,27.374010331047092
F112,S098,SABAH,BANTUL,Kampung Lotong,OPEN,40.92105797336454,Kampung Lotong,40.92105797336454
F113,S099,SABAH,SONSOGON MUGIS,Kampung Desa Aman,UNDER RELOCATION,19.320778113937447,Kampung Ranau,26.365706259446046
