NEGERI,DAERAH,PARLIMEN,DUN,LOKASI PERKHIDMATAN KLINIK BERGERAK,ORI_LATITUDE,ORI_LONGITUDE,LATITUDE,LONGITUDE,SASARAN JUMLAH LAWATAN DALAM SETAHUN,PERKHIDMATAN - JPL (YA/TIDAK),PERKHIDMATAN - MCH (YA/TIDAK),PASUKAN YANG MENJALANKAN PERKHIDMATAN KLINIK BERGERAK,MOD PERKHIDMATAN KLINIK BERGERAK (DARAT/ AIR/ UDARA),JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - KM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - JAM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - MINIT,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - NAMA FASILITI,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (KM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (JAM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (MINIT),KENDERAAN DARAT - 4WD,KENDERAAN DARAT - VAN,KENDERAAN DARAT - BUS,KENDERAAN AIR - BOT,KENDERAAN AIR - PERAHU PANJANG,KENDERAAN AIR - ENJIN BOT,KK RUJUKAN DIPADANKAN,JARAK GARIS LURUS FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK GARIS LURUS FDS-NADI (KM)
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH UMAR,N 01 48.003,E 111 47.623,1.80005,111.793716666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK PAKAN,-,-,45 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Pakan,16.18,Pekan Pakan,OPEN,16.35
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH BARAK,N 01 51.493,E 111 48.943,1.85821666666667,111.815716666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK SEKALONG,-,1 JAM,-,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Sekalong,6.37,Nanga Meluan,OPEN,12.58
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH TAWIE,N 01 51.653,E 111 46.955,1.86088333333333,111.782583333333,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK SEKALONG,-,1 JAM,-,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Sekalong,8.93,Pekan Pakan,OPEN,12.11
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH BUGIE,N 01 53.767,E 111 56.863,1.89611666666667,111.947716666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK JULAU,-,1 JAM,30 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Julau,14.95,Nanga Meluan,OPEN,4.21
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH ENGGIE,N 01 36.137,E 111 47.770,1.60228333333333,111.796166666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK NANGA TIGA,-,-,45 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Tiga,10.98,Paku Penom,OPEN,23.23
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,SK JU,N 01 42.628,E 112 04.973,1.71046666666667,112.082883333333,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,110,-,>30 MINIT,KK NANGA MAONG,-,-,45 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Maong (Mujok),6.43,Nanga Meluan,OPEN,24.13
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,SK JAMBU,N 01 40.238,E 111 56.182,1.67063333333333,111.936366666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,96,-,>30 MINIT,KK NANGA ENSIRING,-,-,45 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Ensiring,11.00,Nanga Meluan,OPEN,21.44
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH KIROH,N 01 48.570,E 111 51.514,1.8095,111.858566666667,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK NANGA ENTABAI,-,-,30 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Entabai,7.22,Nanga Meluan,OPEN,9.83
SARAWAK,SARIKEI,P209 JULAU,N48 MELUAN,RH JANTING,N 01 40.558,E 111 53.240,1.67596666666667,111.887333333333,12,Ya,Ya,FDS (P) PKD SARIKEI,Udara,-,-,>30 MINIT,KK NANGA ENTAIH,-,-,45 MINIT,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Entaih,13.98,Nanga Meluan,OPEN,21.33
SARAWAK,SIBU,P. 214 SELANGAU,N.59 TAMIN,RH. GAYUT (RH NGILAH),N 02 17 46.2,E 112 35 60.0,2.29616666666667,112.6,12,Ya,Tidak,FDS PKB SIBU,Udara,66,1,0,KK SELANGAU,66,1,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Selangau,39.60,Song,OPEN,32.22
